SchemaName,ProcName,CreateDate,ModifyDate,ParamCount,ReferencedInCode,SqlFile
euroamer_admin_2008,VentasPromotorDiario_Obtener,2018-02-20 15:15:33,2025-10-28 03:01:08,5,SI,sql/euroamer_admin_2008.VentasPromotorDiario_Obtener.sql
euroamer_admin_2008,VentasPromotorMensuales_Obtener,2018-02-19 13:16:43,2025-10-28 02:58:40,4,SI,sql/euroamer_admin_2008.VentasPromotorMensuales_Obtener.sql
euroamer_admin_2008,Visitas_Eliminar,2016-02-21 18:26:49,2016-02-21 18:26:49,1,NO,sql/euroamer_admin_2008.Visitas_Eliminar.sql
euroamer_admin_2008,Visitas_Obtener,2016-02-21 18:26:49,2017-05-26 09:35:18,5,NO,sql/euroamer_admin_2008.Visitas_Obtener.sql
euroamer_admin_2008,Visitas_Procesar,2016-02-21 18:26:49,2016-02-21 18:26:49,5,NO,sql/euroamer_admin_2008.Visitas_Procesar.sql
euroamer_admin_2008,VisitasApps_Agencias,2016-02-21 18:26:49,2016-02-22 19:23:50,4,NO,sql/euroamer_admin_2008.VisitasApps_Agencias.sql
euroamer_admin_2008,VisitasApps_Mapas,2016-02-21 18:26:50,2016-04-28 21:47:01,5,NO,sql/euroamer_admin_2008.VisitasApps_Mapas.sql
euroamer_admin_2008,VisitasApps_Obtener,2016-02-21 18:26:49,2016-04-28 21:46:33,4,NO,sql/euroamer_admin_2008.VisitasApps_Obtener.sql
euroamer_admin_2008,VisitasApps_Obtener_Detalle,2016-03-15 18:51:18,2016-03-15 18:51:18,1,NO,sql/euroamer_admin_2008.VisitasApps_Obtener_Detalle.sql
euroamer_admin_2008,VisitasApps_Procesar,2016-02-21 18:26:49,2016-03-15 18:57:31,10,NO,sql/euroamer_admin_2008.VisitasApps_Procesar.sql
euroamer_admin_2008,WS_Venta_Obtener,2016-12-09 20:42:05,2016-12-09 20:42:05,14,NO,sql/euroamer_admin_2008.WS_Venta_Obtener.sql
